id,nombre científico,nombre común,rango,zonas USDA
acanthophoenix_crinita,Acanthophoenix crinita,Yellow Barbel Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
acanthophoenix_rousselii,Acanthophoenix rousselii,Roussel's Barbel Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
acanthophoenix_rubra,Acanthophoenix rubra,Red Barbel Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
acoelorrhaphe_wrightii,Acoelorrhaphe wrightii,Everglades Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
acrocomia_aculeata,Acrocomia aculeata,Coyol palm,-1.1°C a 1.7°C,"10a, 10b"
acrocomia_crispa,Acrocomia crispa,Cuban Belly Palm,-1.1°C a 1.7°C,"10a, 10b"
acrocomia_emensis,Acrocomia emensis,,-3.9°C a -1.1°C,"9b, 10a, 10b"
acrocomia_glaucescens,Acrocomia glaucescens,,-1.1°C a 1.7°C,"10a, 10b"
acrocomia_hassleri,Acrocomia hassleri,,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
acrocomia_intumescens,Acrocomia intumescens,,-1.1°C a 1.7°C,"10a, 10b"
acrocomia_media,Acrocomia media,Prickly Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
acrocomia_totai,Acrocomia totai,Totai Palm,-9.4°C a -6.7°C,"8b, 9a, 9b, 10a, 10b"
actinokentia_divaricata,Actinokentia divaricata,,4.4°C a 10.0°C,11
actinokentia_huerlimannii,Actinokentia huerlimannii,,-1.1°C a 1.7°C,"10a, 10b"
actinorhytis_calapparia,Actinorhytis calapparia,Calappa palm,4.4°C a 10.0°C,11
adonidia_dransfieldii,Adonidia dransfieldii,,1.7°C a 4.4°C,10b
adonidia_merrillii,Adonidia merrillii,Christmas Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
aiphanes_acanthophylla,Aiphanes acanthophylla,Coyure Palm,1.7°C a 4.4°C,10b
aiphanes_acaulis,Aiphanes acaulis,,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
aiphanes_bicornis,Aiphanes bicornis,,-1.1°C a 1.7°C,"10a, 10b"
aiphanes_buenaventurae,Aiphanes buenaventurae,,-1.1°C a 1.7°C,"10a, 10b"
aiphanes_chiribogensis,Aiphanes chiribogensis,,-3.9°C a -1.1°C,"9b, 10a, 10b"
aiphanes_deltoidea,Aiphanes deltoidea,,1.7°C a 4.4°C,10b
aiphanes_duquei,Aiphanes duquei,,-3.9°C a -1.1°C,"9b, 10a, 10b"
aiphanes_eggersii,Aiphanes eggersii,Corozo Palm,1.7°C a 4.4°C,10b
aiphanes_erinacea,Aiphanes erinacea,,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
aiphanes_gelatinosa,Aiphanes gelatinosa,,-3.9°C a -1.1°C,"9b, 10a, 10b"
aiphanes_graminifolia,Aiphanes graminifolia,,1.7°C a 4.4°C,10b
aiphanes_grandis,Aiphanes grandis,,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
aiphanes_hirsuta_subsp_fosteriorum,Aiphanes hirsuta subsp. fosteriorum,,-1.1°C a 1.7°C,"10a, 10b"
aiphanes_hirsuta_subsp_hirsuta,Aiphanes hirsuta subsp. hirsuta,,1.7°C a 4.4°C,10b
aiphanes_hirsuta_subsp_intermedia,Aiphanes hirsuta subsp. intermedia,,-3.9°C a -1.1°C,"9b, 10a, 10b"
aiphanes_hirsuta_subsp_kalbreyeri,Aiphanes hirsuta subsp. kalbreyeri,,1.7°C a 4.4°C,10b
aiphanes_horrida,Aiphanes horrida,Coyure Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
aiphanes_leiostachys,Aiphanes leiostachys,,-3.9°C a -1.1°C,"9b, 10a, 10b"
aiphanes_lindeniana,Aiphanes lindeniana,,-3.9°C a -1.1°C,"9b, 10a, 10b"
aiphanes_linearis,Aiphanes linearis,,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
aiphanes_macroloba,Aiphanes macroloba,,-1.1°C a 1.7°C,"10a, 10b"
aiphanes_minima,Aiphanes minima,Macaw Palm,1.7°C a 4.4°C,10b
aiphanes_multiplex,Aiphanes multiplex,,1.7°C a 4.4°C,10b
aiphanes_parvifolia,Aiphanes parvifolia,,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
aiphanes_pilaris,Aiphanes pilaris,,1.7°C a 4.4°C,10b
aiphanes_simplex,Aiphanes simplex,,-3.9°C a -1.1°C,"9b, 10a, 10b"
aiphanes_spicata,Aiphanes spicata,,-3.9°C a -1.1°C,"9b, 10a, 10b"
aiphanes_tricuspidata,Aiphanes tricuspidata,,1.7°C a 4.4°C,10b
aiphanes_ulei,Aiphanes ulei,,-1.1°C a 1.7°C,"10a, 10b"
aiphanes_verrucosa,Aiphanes verrucosa,,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
aiphanes_weberbaueri,Aiphanes weberbaueri,,-3.9°C a -1.1°C,"9b, 10a, 10b"
allagoptera_arenaria,Allagoptera arenaria,Restinga Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
allagoptera_brevicalyx,Allagoptera brevicalyx,,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
allagoptera_campestris,Allagoptera campestris,,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
allagoptera_caudescens,Allagoptera caudescens,Buri Palm,-1.1°C a 1.7°C,"10a, 10b"
allagoptera_leucocalyx,Allagoptera leucocalyx,,-3.9°C a -1.1°C,"9b, 10a, 10b"
allagoptera_robusta,Allagoptera robusta,,-1.1°C a 1.7°C,"10a, 10b"
ammandra_decasperma,Ammandra decasperma,,-1.1°C a 1.7°C,"10a, 10b"
aphandra_natalia,Aphandra natalia,Tagua Palm,-1.1°C a 1.7°C,"10a, 10b"
archontophoenix_alexandrae,Archontophoenix alexandrae,King Palm,-1.1°C a 1.7°C,"10a, 10b"
archontophoenix_cunninghamiana,Archontophoenix cunninghamiana,Illawarra Bangalow Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
archontophoenix_maxima,Archontophoenix maxima,Walsh River Palm,-1.1°C a 1.7°C,"10a, 10b"
archontophoenix_myolensis,Archontophoenix myolensis,Myola King Palm,-1.1°C a 1.7°C,"10a, 10b"
archontophoenix_purpurea,Archontophoenix purpurea,Mt. Lewis King Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
archontophoenix_tuckeri,Archontophoenix tuckeri,Peach Creek Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
areca_abdulrahmanii,Areca abdulrahmanii,,1.7°C a 4.4°C,10b
areca_ahmadii,Areca ahmadii,,1.7°C a 4.4°C,10b
areca_andersonii,Areca andersonii,,1.7°C a 4.4°C,10b
areca_arundinacea,Areca arundinacea,,1.7°C a 4.4°C,10b
areca_bakeri,Areca bakeri,,1.7°C a 4.4°C,10b
areca_brachypoda,Areca brachypoda,,1.7°C a 4.4°C,10b
areca_caliso,Areca caliso,,1.7°C a 4.4°C,10b
areca_camarinensis,Areca camarinensis,,1.7°C a 4.4°C,10b
areca_catechu,Areca catechu,Betel Nut Palm,-1.1°C a 1.7°C,"10a, 10b"
areca_catechu_var_batanensis,Areca catechu var. batanensis,Dwarf Betel Nut Palm,-1.1°C a 1.7°C,"10a, 10b"
areca_chaiana,Areca chaiana,,4.4°C a 10.0°C,11
areca_churchii,Areca churchii,,1.7°C a 4.4°C,10b
areca_concinna,Areca concinna,,1.7°C a 4.4°C,10b
areca_congesta,Areca congesta,,1.7°C a 4.4°C,10b
areca_costulata,Areca costulata,,1.7°C a 4.4°C,10b
areca_dayung,Areca dayung,,1.7°C a 4.4°C,10b
areca_dransfieldii,Areca dransfieldii,,1.7°C a 4.4°C,10b
areca_furcata,Areca furcata,,1.7°C a 4.4°C,10b
areca_gurita,Areca gurita,,1.7°C a 4.4°C,10b
areca_hutchinsoniana,Areca hutchinsoniana,,1.7°C a 4.4°C,10b
areca_insignis_var_insignis,Areca insignis var. insignis,,4.4°C a 10.0°C,11
areca_insignis_var_moorei,Areca insignis var. moorei,,4.4°C a 10.0°C,11
areca_ipot,Areca ipot,Ipot Palm,-1.1°C a 1.7°C,"10a, 10b"
areca_jokowi,Areca jokowi,,1.7°C a 4.4°C,10b
areca_jugahpunya,Areca jugahpunya,,1.7°C a 4.4°C,10b
areca_kinabaluensis,Areca kinabaluensis,,-1.1°C a 1.7°C,"10a, 10b"
areca_klingkangensis,Areca klingkangensis,,1.7°C a 4.4°C,10b
areca_laosensis,Areca laosensis,Chocolate Palm,1.7°C a 4.4°C,10b
areca_ledermanniana,Areca ledermanniana,,1.7°C a 4.4°C,10b
areca_macrocalyx,Areca macrocalyx,Highland Betel Nut Palm,-1.1°C a 1.7°C,"10a, 10b"
areca_mandacanii,Areca mandacanii,,4.4°C a 10.0°C,11
areca_minuta,Areca minuta,,4.4°C a 10.0°C,11
areca_mogeana,Areca mogeana,,1.7°C a 4.4°C,10b
areca_montana,Areca montana,,-1.1°C a 1.7°C,"10a, 10b"
areca_novohibernica,Areca novohibernica,Sacred Palm,1.7°C a 4.4°C,10b
areca_oxycarpa,Areca oxycarpa,,1.7°C a 4.4°C,10b
areca_parens,Areca parens,,1.7°C a 4.4°C,10b
areca_rheophytica,Areca rheophytica,,1.7°C a 4.4°C,10b
areca_ridleyana,Areca ridleyana,,1.7°C a 4.4°C,10b
areca_riparia,Areca riparia,,-1.1°C a 1.7°C,"10a, 10b"
areca_songthanhensis,Areca songthanhensis,,-1.1°C a 1.7°C,"10a, 10b"
areca_subacaulis,Areca subacaulis,,1.7°C a 4.4°C,10b
areca_triandra,Areca triandra,Triandra palm,-1.1°C a 1.7°C,"10a, 10b"
areca_triginticollina,Areca triginticollina,,1.7°C a 4.4°C,10b
areca_tunku,Areca tunku,,1.7°C a 4.4°C,10b
areca_unipa,Areca unipa,,-1.1°C a 1.7°C,"10a, 10b"
areca_vestiaria_maroon,Areca vestiaria - maroon,Maroon Collar Palm,-1.1°C a 1.7°C,"10a, 10b"
areca_vestiaria_orange,Areca vestiaria - orange,Orange Collar Palm,-1.1°C a 1.7°C,"10a, 10b"
areca_vidaliana,Areca vidaliana,,1.7°C a 4.4°C,10b
areca_whitfordii,Areca whitfordii,,1.7°C a 4.4°C,10b
arenga_australasica,Arenga australasica,Australian Sugar Palm,-1.1°C a 1.7°C,"10a, 10b"
arenga_brevipes,Arenga brevipes,,-1.1°C a 1.7°C,"10a, 10b"
arenga_caudata,Arenga caudata,Miniature Sugar Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
arenga_distincta,Arenga distincta,,1.7°C a 4.4°C,10b
arenga_engleri,Arenga engleri,Dwarf sugar palm,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
arenga_hastata,Arenga hastata,Bhutanese Sugar Palm,-1.1°C a 1.7°C,"10a, 10b"
arenga_hookeriana,Arenga hookeriana,Hookers Fish Tail Palm,-1.1°C a 1.7°C,"10a, 10b"
arenga_listeri,Arenga listeri,,-1.1°C a 1.7°C,"10a, 10b"
arenga_longicarpa,Arenga longicarpa,,-1.1°C a 1.7°C,"10a, 10b"
arenga_longipes,Arenga longipes,,1.7°C a 4.4°C,10b
arenga_micrantha,Arenga micrantha,Tibetan Sugar Palm,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
arenga_microcarpa,Arenga microcarpa,Sago Sugar Palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
arenga_mindorensis,Arenga mindorensis,,-1.1°C a 1.7°C,"10a, 10b"
arenga_obtusifolia,Arenga obtusifolia,Langkap Sugar Palm,-1.1°C a 1.7°C,"10a, 10b"
arenga_pinnata,Arenga pinnata,Sugar Palm,-1.1°C a 1.7°C,"10a, 10b"
arenga_plicata,Arenga plicata,,1.7°C a 4.4°C,10b
arenga_porphyrocarpa,Arenga porphyrocarpa,,-1.1°C a 1.7°C,"10a, 10b"
arenga_retroflorescens,Arenga retroflorescens,,-1.1°C a 1.7°C,"10a, 10b"
arenga_ryukyuensis,Arenga ryukyuensis,Japanese dwarf sugar palm,-6.7°C a -3.9°C,"9a, 9b, 10a, 10b"
arenga_talamauensis,Arenga talamauensis,,1.7°C a 4.4°C,10b
arenga_tremula,Arenga tremula,Philippine Dwarf Sugar Palm,-1.1°C a 1.7°C,"10a, 10b"
arenga_undulatifolia,Arenga undulatifolia,Turbulence Palm,1.7°C a 4.4°C,10b
arenga_westerhoutii,Arenga westerhoutii,Westerhout's Sugar Palm,-1.1°C a 1.7°C,"10a, 10b"
arenga_wightii,Arenga wightii,,-1.1°C a 1.7°C,"10a, 10b"
asterogyne_guianensis,Asterogyne guianensis,,1.7°C a 4.4°C,10b
asterogyne_martiana,Asterogyne martiana,Houndstooth Palm,1.7°C a 4.4°C,10b
asterogyne_ramosa,Asterogyne ramosa,,1.7°C a 4.4°C,10b
asterogyne_spicata,Asterogyne spicata,Palmito Palm,1.7°C a 4.4°C,10b
asterogyne_yaracuyense,Asterogyne yaracuyense,,1.7°C a 4.4°C,10b
astrocaryum_acaule,Astrocaryum acaule,,1.7°C a 4.4°C,10b
astrocaryum_aculeatissimum,Astrocaryum aculeatissimum,,1.7°C a 4.4°C,10b
astrocaryum_aculeatum,Astrocaryum aculeatum,Star-nut Palm,1.7°C a 4.4°C,10b
astrocaryum_alatum,Astrocaryum alatum,Nutsedge Palm,1.7°C a 4.4°C,10b
astrocaryum_campestre,Astrocaryum campestre,,1.7°C a 4.4°C,10b
astrocaryum_carnosum,Astrocaryum carnosum,,1.7°C a 4.4°C,10b
astrocaryum_chambira,Astrocaryum chambira,,1.7°C a 4.4°C,10b
astrocaryum_chonta,Astrocaryum chonta,,1.7°C a 4.4°C,10b
astrocaryum_ciliatum,Astrocaryum ciliatum,,1.7°C a 4.4°C,10b
astrocaryum_confertum,Astrocaryum confertum,,1.7°C a 4.4°C,10b
astrocaryum_echinatum,Astrocaryum echinatum,,-1.1°C a 1.7°C,"10a, 10b"
astrocaryum_faranae,Astrocaryum faranae,,1.7°C a 4.4°C,10b
astrocaryum_farinosum,Astrocaryum farinosum,,1.7°C a 4.4°C,10b
astrocaryum_ferrugineum,Astrocaryum ferrugineum,,1.7°C a 4.4°C,10b
astrocaryum_giganteum,Astrocaryum giganteum,,1.7°C a 4.4°C,10b
astrocaryum_gratum,Astrocaryum gratum,,1.7°C a 4.4°C,10b
astrocaryum_huaimi,Astrocaryum huaimi,,1.7°C a 4.4°C,10b
astrocaryum_huicungo,Astrocaryum huicungo,,1.7°C a 4.4°C,10b
astrocaryum_jauari,Astrocaryum jauari,,1.7°C a 4.4°C,10b
astrocaryum_javarense,Astrocaryum javarense,,1.7°C a 4.4°C,10b
astrocaryum_macrocalyx,Astrocaryum macrocalyx,,1.7°C a 4.4°C,10b
astrocaryum_malybo,Astrocaryum malybo,,1.7°C a 4.4°C,10b
astrocaryum_mexicanum,Astrocaryum mexicanum,Warri Cohune Palm,1.7°C a 4.4°C,10b
astrocaryum_minus,Astrocaryum minus,,1.7°C a 4.4°C,10b
astrocaryum_murumuru,Astrocaryum murumuru,,1.7°C a 4.4°C,10b
astrocaryum_paramaca,Astrocaryum paramaca,,1.7°C a 4.4°C,10b
astrocaryum_perangustatum,Astrocaryum perangustatum,,1.7°C a 4.4°C,10b
astrocaryum_rodriguesii,Astrocaryum rodriguesii,Star-nut Palm,1.7°C a 4.4°C,10b
astrocaryum_sciophilum,Astrocaryum sciophilum,,1.7°C a 4.4°C,10b
astrocaryum_scopatum,Astrocaryum scopatum,,1.7°C a 4.4°C,10b
astrocaryum_sociale,Astrocaryum sociale,,1.7°C a 4.4°C,10b
astrocaryum_standleyanum,Astrocaryum standleyanum,Mocora Palm,1.7°C a 4.4°C,10b
astrocaryum_triandrum,Astrocaryum triandrum,,-3.9°C a -1.1°C,"9b, 10a, 10b"
astrocaryum_tucuma,Astrocaryum tucuma,,1.7°C a 4.4°C,10b
astrocaryum_ulei,Astrocaryum ulei,,1.7°C a 4.4°C,10b
astrocaryum_urostachys,Astrocaryum urostachys,,1.7°C a 4.4°C,10b
astrocaryum_vulgare,Astrocaryum vulgare,Tucuma Palm,1.7°C a 4.4°C,10b
attalea_allenii,Attalea allenii,,1.7°C a 4.4°C,10b
attalea_amygdalina,Attalea amygdalina,,-3.9°C a -1.1°C,"9b, 10a, 10b"
attalea_amylacea,Attalea amylacea,,1.7°C a 4.4°C,10b
attalea_anisitsiana,Attalea anisitsiana,,1.7°C a 4.4°C,10b
attalea_apoda,Attalea apoda,,1.7°C a 4.4°C,10b
attalea_attaleoides,Attalea attaleoides,,1.7°C a 4.4°C,10b
attalea_barreirensis,Attalea barreirensis,,1.7°C a 4.4°C,10b
attalea_bassleriana,Attalea bassleriana,,1.7°C a 4.4°C,10b
attalea_blepharopus,Attalea blepharopus,,1.7°C a 4.4°C,10b
attalea_brasiliensis,Attalea brasiliensis,,1.7°C a 4.4°C,10b
attalea_brejinhoensis,Attalea brejinhoensis,,1.7°C a 4.4°C,10b
attalea_butyracea,Attalea butyracea,Yagua Palm,-1.1°C a 1.7°C,"10a, 10b"
attalea_camopiensis,Attalea camopiensis,,1.7°C a 4.4°C,10b
attalea_cephalotus,Attalea cephalotus,,1.7°C a 4.4°C,10b
attalea_cohune,Attalea cohune,Cohune palm,-3.9°C a -1.1°C,"9b, 10a, 10b"
attalea_colenda,Attalea colenda,,1.7°C a 4.4°C,10b
attalea_compta,Attalea compta,,1.7°C a 4.4°C,10b
attalea_crassispatha,Attalea crassispatha,Corossie Palm,1.7°C a 4.4°C,10b
attalea_cuatrecasana,Attalea cuatrecasana,,1.7°C a 4.4°C,10b
attalea_dahlgreniana,Attalea dahlgreniana,,1.7°C a 4.4°C,10b
attalea_degranvillei,Attalea degranvillei,,1.7°C a 4.4°C,10b
attalea_dubia,Attalea dubia,,-3.9°C a -1.1°C,"9b, 10a, 10b"
attalea_eichleri,Attalea eichleri,,1.7°C a 4.4°C,10b
attalea_exigua,Attalea exigua,,1.7°C a 4.4°C,10b
attalea_fairchildensis,Attalea fairchildensis,,1.7°C a 4.4°C,10b
attalea_funifera,Attalea funifera,Piassaba Palm,-1.1°C a 1.7°C,"10a, 10b"
attalea_geraensis,Attalea geraensis,,-3.9°C a -1.1°C,"9b, 10a, 10b"
