id,nombre científico,nombre común,rango,zonas USDA
"nombre_cientifico","Nombre científico","Nombre común","N/A",""
"abies_nordmanniana","Abies nordmanniana","Abeto del Cáucaso, abeto de Normandía","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"abutilon_grandifolium","Abutilon grandifolium","Abutilo","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"abutilon_pauciflorum","Abutilon pauciflorum","Malvavisco","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"acacia_aroma","Acacia aroma","Aromo","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"acacia_baileyana","Acacia baileyana","Acacia de Baile, Mimosa de Baile","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"acacia_bonariensis","Acacia bonariensis","Cari cari, uña de gato, ñapinday","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"acacia_dealbata","Acacia dealbata","Mimosa, Aromo francés","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"acacia_melanoxylon","Acacia melanoxylon","Acacia negra","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"acacia_retinoides","Acacia retinoides","Acacia verde","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"acacia_sp","Acacia sp.","Acacia","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"acanthosyris_spinescens","Acanthosyris spinescens","Quebrachillo","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"acca_sellowiana","Acca sellowiana","Falso Guayabo, Guayaba del Brasil","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"acer_buergerianum","Acer buergerianum","Arce tridente","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"acer_campestre","Acer campestre","Arce campestre. Arce común, Arce menor","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"acer_negundo","Acer negundo","Arce negundo","-40°C a -37.2°C","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"acer_palmatum","Acer palmatum","Arce japones","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"acer_platanoides","Acer platanoides","Arce real","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"acer_pseudoplatanus","Acer pseudoplatanus","Arce blanco","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"acer_saccharinum","Acer saccharinum","Arce plateado, Arce blanco","-40°C a -37.2°C","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"acer_sp","Acer sp.","Arce","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"aesculus_sp","Aesculus sp.","Aesculus","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"aesculus_hippocastanum","Aesculus hippocastanum","Castaño de Indias común","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"agathis_alba","Agathis alba","Agatis blanco","-1.1°C a 1.7°C","10a, 10b"
"agathis_robusta","Agathis robusta","Kauri de corteza lisa","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"agave_angustifolia","Agave angustifolia","Agave vivipara","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"ailanthus_altissima","Ailanthus altissima","Árbol del cielo, Ailanto, Árbol de los dioses","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"ailanthus_sp","Ailanthus sp.","Ailanthus","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"albizia_julibrissin","Albizia julibrissin","Acacia de constantinopla","-23.3°C a -20.6°C","6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"aleurites_sp","Aleurites sp.","Aleurites","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"allophylus_edulis","Allophylus edulis","Chal Chal","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"anadenanthera_colubrina","Anadenanthera colubrina","Cebil, Vilca","-3.9°C a -1.1°C","9b, 10a, 10b"
"annona_cherimola","Annona cherimola","Chirimoya","-3.9°C a -1.1°C","9b, 10a, 10b"
"annona_squamosa","Annona squamosa","Chirimoya, Anón","-1.1°C a 1.7°C","10a, 10b"
"araucaria_angustifolia","Araucaria angustifolia","Pino del Paraná, Pino de Misiones, Pino de Brasil","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"araucaria_araucana","Araucaria araucana","Pehuén","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"araucaria_bidwillii","Araucaria bidwillii","Bunya, bunya","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"araucaria_columnaris","Araucaria columnaris","Araucaria columnar","-1.1°C a 1.7°C","10a, 10b"
"araucaria_heterophylla","Araucaria heterophylla","Araucaria, Araucaria de pisos","-3.9°C a -1.1°C","9b, 10a, 10b"
"araucaria_sp","Araucaria sp.","Araucaria","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"arbustus_andrache","Arbustus andrache","Madroño oriental","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"archontophoenix_alexandrae","Archontophoenix alexandrae","Palmera real australiana, seafortia","-1.1°C a 1.7°C","10a, 10b"
