id,nombre zona,rango,zonas usda
usda_1a-3b,Clima Polar / Extremo Frío (1a a 3b),-51.1°C a -34.4°C,"1a, 1b, 2a, 2b, 3a, 3b"
usda_4a-5b,Clima Frío Continental (4a a 5b),-34.4°C a -23.3°C,"4a, 4b, 5a, 5b"
usda_6a-7b,Clima Templado Frío (6a a 7b),-23.3°C a -12.2°C,"6a, 6b, 7a, 7b"
usda_8a-8b,Clima Templado Cálido / Oceánico (8a a 8b),-12.2°C a -6.7°C,"8a, 8b"
usda_9a-10b,Clima Subtropical / Cálido (9a a 10b),-6.7°C a 4.4°C,"9a, 9b, 10a, 10b"
usda_ar,Todas las Zonas de Argentina (1a a 10b),-51.1°C a 4.4°C,"1a, 1b, 2a, 2b, 3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
usda_10b,Zona USDA 10b,1.7°C a 4.4°C,10b
usda_10a,Zona USDA 10a,-1.1°C a 1.7°C,10a
usda_9b,Zona USDA 9b,-3.9°C a -1.1°C,9b
usda_9a,Zona USDA 9a,-6.7°C a -3.9°C,9a
usda_8b,Zona USDA 8b,-9.4°C a -6.7°C,8b
usda_8a,Zona USDA 8a,-12.2°C a -9.4°C,8a
usda_7b,Zona USDA 7b,-15.0°C a -12.2°C,7b
usda_7a,Zona USDA 7a,-17.8°C a -15.0°C,7a
usda_6b,Zona USDA 6b,-20.6°C a -17.8°C,6b
usda_6a,Zona USDA 6a,-23.3°C a -20.6°C,6a
usda_5b,Zona USDA 5b,-26.1°C a -23.3°C,5b
usda_5a,Zona USDA 5a,-28.9°C a -26.1°C,5a
usda_4b,Zona USDA 4b,-31.7°C a -28.9°C,4b
usda_4a,Zona USDA 4a,-34.4°C a -31.7°C,4a
usda_3b,Zona USDA 3b,-37.2°C a -34.4°C,3b
usda_3a,Zona USDA 3a,-40.0°C a -37.2°C,3a
usda_2b,Zona USDA 2b,-42.8°C a -40.0°C,2b
usda_2a,Zona USDA 2a,-45.6°C a -42.8°C,2a
usda_1b,Zona USDA 1b,-48.3°C a -45.6°C,1b
usda_1a,Zona USDA 1a,-51.1°C a -48.3°C,1a
